	Post.TCD.2	Post.TCD.4	Post.Propionate.7	Post.Propionate.3	Post.Propionate.8	Pre.Propionate.8	Pre.Propionate.4	Pre.Propionate.5	Pre.Propionate.6	Pre.Propionate.7	Pre.Propionate.1	Pre.Propionate.2	Pre.Propionate.3	Pre.TCD.4	Pre.TCD.3	Pre.TCD.2	Pre.TCD.1	Pre.PBS.8	Pre.PBS.7	Pre.PBS.6	Pre.PBS.5	Pre.PBS.4	Pre.PBS.3	Pre.PBS.2	Pre.PBS.1	Post.Propionate.2	Post.TCD.1	Post.Propionate.1	Post.Propionate.6	Post.PBS.8	Post.Propionate.4	Post.Propionate.5	Post.PBS.5	Post.PBS.4	Post.PBS.7	Post.PBS.6	Post.PBS.1	Post.TCD.3	Post.PBS.3	Post.PBS.2
Pre.PBS.3	0.661894846434	0.507548152004	0.727832726011	0.603331598126	0.663456533056	0.506246746486	0.392677424952	0.523078257852	0.494360576089	0.528630921395	0.453496442825	0.438747180288	0.453843484296	0.439701544335	0.470674995662	0.2319104633	0.408641332639	0.35701891376	0.352507374631	0.477876106195	0.461304875933	0.465556133958	0.0	0.510324483776	0.52680895367	0.621985077217	0.468419226098	0.62875238591	0.71568627451	0.805743536353	0.657643588409	0.747267048412	0.734339753601	0.723928509457	0.794724969634	0.77824049974	0.78431372549	0.606194690265	0.739198334201	0.697726878362
Pre.PBS.2	0.635085892764	0.676904390075	0.738070449419	0.672653132049	0.698073919833	0.360836369946	0.429030019087	0.329602637515	0.268263057435	0.299930591706	0.352420614263	0.380704494187	0.369685927468	0.356411591185	0.285701891376	0.49106368211	0.402221065417	0.36066284921	0.348863439181	0.33671698768	0.24370987333	0.199288564984	0.510324483776	0.0	0.408381051536	0.68887732084	0.679160159639	0.702585458962	0.62632309561	0.806611140031	0.612961998959	0.706055873677	0.7221933021	0.737636647579	0.811990282839	0.775117126497	0.789172306091	0.641506159986	0.760628145063	0.755509283359
Pre.PBS.1	0.67707791081	0.737723407947	0.778066979004	0.713864306785	0.714384868992	0.558129446469	0.503296893979	0.274770085025	0.448637862225	0.461044594829	0.434669442998	0.505986465383	0.454884608711	0.248655214298	0.454017005032	0.547718202325	0.57756376887	0.449765747007	0.443345479785	0.283532882179	0.475360055527	0.449071664064	0.52680895367	0.408381051536	0.0	0.747700850252	0.705448551102	0.758892937706	0.798368905084	0.800364393545	0.745271559951	0.774683324657	0.74613916363	0.780149227833	0.789953149401	0.836196425473	0.790994273816	0.727398924171	0.779281624154	0.739198334201
Post.Propionate.2	0.553704667708	0.560211695298	0.417751171265	0.33958007982	0.454190525768	0.785007808433	0.636040256811	0.672826652785	0.70796460177	0.733211868818	0.654259934062	0.804442130835	0.618427902134	0.679246920007	0.698420961305	0.535918792296	0.702238417491	0.732257504772	0.722280062467	0.676644108971	0.791428075655	0.7680895367	0.621985077217	0.68887732084	0.747700850252	0.0	0.574093354156	0.0989068193649	0.68523338539	0.578865174388	0.494360576089	0.558216206837	0.479784834288	0.546156515704	0.599253860836	0.517091792469	0.517699115044	0.666059344092	0.446902654867	0.454190525768
Post.TCD.1	0.338191913934	0.208658684713	0.591271906993	0.579993059171	0.578431372549	0.641419399618	0.535137948985	0.633524206143	0.656862745098	0.695297588062	0.612614957487	0.627624501128	0.58771473191	0.571924344959	0.635346173868	0.487159465556	0.658164150616	0.554659031754	0.544161027243	0.602984556655	0.643154606976	0.651310081555	0.468419226098	0.679160159639	0.705448551102	0.574093354156	0.0	0.573746312684	0.622505639424	0.656689224362	0.610966510498	0.580600381746	0.579646017699	0.536352594135	0.664410897102	0.623546763838	0.653479090751	0.275897969807	0.629880270692	0.517525594309
Post.Propionate.1	0.555700156169	0.557522123894	0.43093874718	0.356671872289	0.472410203019	0.79203539823	0.648620510151	0.683151136561	0.723841749089	0.74492451848	0.671264966163	0.814679854243	0.630140551796	0.691393371508	0.714731910463	0.542512580253	0.717855283706	0.736769043901	0.729047371161	0.689137601943	0.802967204581	0.775724449072	0.62875238591	0.702585458962	0.758892937706	0.0989068193649	0.573746312684	0.0	0.689224362311	0.587541211175	0.507895193476	0.570796460177	0.492365087628	0.549453409682	0.605413846955	0.522297414541	0.533055700156	0.671525247267	0.444386604199	0.470588235294
Post.Propionate.6	0.655214298109	0.627971542599	0.562207183758	0.593093874718	0.469980912719	0.628145063335	0.737463126844	0.783532882179	0.625021690092	0.617733819191	0.710654173174	0.655127537741	0.731303140725	0.7753774076	0.6328301232	0.735033836543	0.684712823182	0.640985597779	0.642200242929	0.780235988201	0.623112961999	0.62224535832	0.71568627451	0.62632309561	0.798368905084	0.68523338539	0.622505639424	0.689224362311	0.0	0.608190178726	0.443519000521	0.374457747701	0.651223321187	0.520475446816	0.612007634912	0.629446468853	0.826045462433	0.592486552143	0.788738504251	0.699982647926
Post.PBS.8	0.630747874371	0.683671698768	0.683324657297	0.498872115218	0.673086933889	0.815981259761	0.795072011105	0.765833767135	0.791254554919	0.809040430331	0.788478223148	0.820319278154	0.78717681763	0.776245011279	0.789345826826	0.797067499566	0.797588061773	0.808606628492	0.807652264446	0.767829255596	0.822575047718	0.817109144543	0.805743536353	0.806611140031	0.800364393545	0.578865174388	0.656689224362	0.587541211175	0.608190178726	0.0	0.408554572271	0.606802012841	0.389033489502	0.376626756897	0.105327086587	0.260628145063	0.585372201978	0.629099427382	0.686881832379	0.509370119729
Post.Propionate.4	0.620249869859	0.614610445948	0.631008155475	0.284921048065	0.585198681242	0.624414367517	0.693302099601	0.738851292729	0.625368731563	0.611487072705	0.668488634392	0.6425472844	0.684973104286	0.730348776679	0.619989588756	0.688530279368	0.660159639077	0.622418879056	0.61860142287	0.73720284574	0.625976054138	0.608016657991	0.657643588409	0.612961998959	0.745271559951	0.494360576089	0.610966510498	0.507895193476	0.443519000521	0.408554572271	0.0	0.515616866216	0.486118341142	0.469894152351	0.416623286483	0.448551101857	0.618427902134	0.612181155648	0.698507721673	0.568974492452
Post.Propionate.5	0.568020128405	0.56862745098	0.34157556828	0.451587714732	0.341749089016	0.759673781017	0.723060905778	0.782838799237	0.718462606281	0.738504251258	0.707791081034	0.770779108103	0.711087975013	0.799149748395	0.711695297588	0.723581467985	0.724796113136	0.737636647579	0.730088495575	0.787003296894	0.775637688704	0.755596043727	0.747267048412	0.706055873677	0.774683324657	0.558216206837	0.580600381746	0.570796460177	0.374457747701	0.606802012841	0.515616866216	0.0	0.567239285095	0.575221238938	0.62103071317	0.609057782405	0.655734860316	0.566979003991	0.678639597432	0.567152524727
Post.PBS.5	0.491931285789	0.567673086934	0.568280409509	0.423911157383	0.541211174735	0.821533923304	0.716987680028	0.716380357453	0.759413499913	0.770518827	0.730782578518	0.824744056915	0.700589970501	0.729481173	0.750303661288	0.678552837064	0.745271559951	0.751952108277	0.741107062294	0.72097865695	0.815981259761	0.794638209266	0.734339753601	0.7221933021	0.74613916363	0.479784834288	0.579646017699	0.492365087628	0.651223321187	0.389033489502	0.486118341142	0.567239285095	0.0	0.465035571751	0.392937706056	0.363265660246	0.456880097172	0.572011105327	0.516397709526	0.441610272428
Post.PBS.4	0.524553184106	0.534617386778	0.605847648794	0.535137948985	0.583203192782	0.802706923477	0.7680895367	0.734079472497	0.777633177165	0.746572965469	0.776678813118	0.802967204581	0.766614610446	0.720805136214	0.774770085025	0.732517785875	0.750390421655	0.761842790213	0.755596043727	0.729828214472	0.765139684192	0.746746486205	0.723928509457	0.737636647579	0.780149227833	0.546156515704	0.536352594135	0.549453409682	0.520475446816	0.376626756897	0.469894152351	0.575221238938	0.465035571751	0.0	0.372809300711	0.334981780323	0.534617386778	0.507027589797	0.589536699636	0.359708485164
Post.PBS.7	0.64905431199	0.689484643415	0.692434495922	0.524206142634	0.689311122679	0.78839146278	0.780583029672	0.754121117474	0.775203886864	0.790733992712	0.775897969807	0.797241020302	0.773121638036	0.760281103592	0.776158250911	0.791167794551	0.787523859101	0.790386951241	0.789519347562	0.754901960784	0.814679854243	0.813899010932	0.794724969634	0.811990282839	0.789953149401	0.599253860836	0.664410897102	0.605413846955	0.612007634912	0.105327086587	0.416623286483	0.62103071317	0.392937706056	0.372809300711	0.0	0.255943085199	0.612267916016	0.62875238591	0.697466597258	0.512840534444
Post.PBS.6	0.603852160333	0.649748394933	0.635866736075	0.482647926427	0.649227832726	0.843050494534	0.780062467465	0.757591532188	0.787263577998	0.812510845046	0.771906992886	0.849644282492	0.763404476835	0.774509803922	0.782925559604	0.743623112962	0.767308693389	0.811296199896	0.80747874371	0.760541384695	0.843571056741	0.82656602464	0.77824049974	0.775117126497	0.836196425473	0.517091792469	0.623546763838	0.522297414541	0.629446468853	0.260628145063	0.448551101857	0.609057782405	0.363265660246	0.334981780323	0.255943085199	0.0	0.540343571057	0.645150095436	0.612961998959	0.471802880444
Post.PBS.1	0.513187575915	0.6352594135	0.622592399792	0.525767829256	0.646798542426	0.920093701197	0.811469720632	0.77902134305	0.865087627972	0.84929724102	0.830990803401	0.919139337151	0.79611313552	0.811816762103	0.85823355891	0.728179767482	0.838105153566	0.843657817109	0.834895019955	0.788825264619	0.901353461739	0.871507895193	0.78431372549	0.789172306091	0.790994273816	0.517699115044	0.653479090751	0.533055700156	0.826045462433	0.585372201978	0.618427902134	0.655734860316	0.456880097172	0.534617386778	0.612267916016	0.540343571057	0.0	0.634565330557	0.492191566892	0.41428075655
Post.TCD.3	0.31112267916	0.291601596391	0.646885302794	0.646191219851	0.611487072705	0.63404476835	0.576869685927	0.629099427382	0.643501648447	0.672826652785	0.612007634912	0.64055179594	0.598039215686	0.602897796287	0.618341141766	0.585806003817	0.640898837411	0.611313551969	0.598906819365	0.599947943779	0.636994620857	0.628925906646	0.606194690265	0.641506159986	0.727398924171	0.666059344092	0.275897969807	0.671525247267	0.592486552143	0.629099427382	0.612181155648	0.566979003991	0.572011105327	0.507027589797	0.62875238591	0.645150095436	0.634565330557	0.0	0.679333680375	0.587801492278
Post.PBS.3	0.555960437272	0.614176644109	0.57513447857	0.542425819885	0.556133958008	0.898316848863	0.756029845567	0.748047891723	0.833506854069	0.834114176644	0.802793683845	0.896234600035	0.768263057435	0.771039389207	0.82413673434	0.654520215166	0.819625195211	0.816848863439	0.813118167621	0.750477182023	0.878014922783	0.847562033663	0.739198334201	0.760628145063	0.779281624154	0.446902654867	0.629880270692	0.444386604199	0.788738504251	0.686881832379	0.698507721673	0.678639597432	0.516397709526	0.589536699636	0.697466597258	0.612961998959	0.492191566892	0.679333680375	0.0	0.486899184453
Post.PBS.2	0.492018046157	0.532014575742	0.517265313205	0.467725143155	0.534443866042	0.877494360576	0.768349817803	0.732170744404	0.818931112268	0.805917057088	0.790126670137	0.880097171612	0.763491237203	0.719416970328	0.813812250564	0.683671698768	0.796546937359	0.810515356585	0.802012840534	0.729828214472	0.852333853896	0.828908554572	0.697726878362	0.755509283359	0.739198334201	0.454190525768	0.517525594309	0.470588235294	0.699982647926	0.509370119729	0.568974492452	0.567152524727	0.441610272428	0.359708485164	0.512840534444	0.471802880444	0.41428075655	0.587801492278	0.486899184453	0.0
